group,n_samples,n_D,full_rel_l2_field_micro_mean,full_rel_l2_field_macro_equal_D_K_mean,full_rel_l2_power_micro_mean,full_rel_l2_power_macro_equal_D_K_mean,terminal_rel_l2_field_micro_mean,terminal_rel_l2_field_macro_equal_D_K_mean,terminal_rel_l2_power_micro_mean,terminal_rel_l2_power_macro_equal_D_K_mean,max_abs_power_error_micro_mean,max_abs_power_error_macro_equal_D_K_mean
seen_D,235872,3,0.05632213895889838,0.0719556902717385,0.04301895847637731,0.039500480033083214,0.09114206446321911,0.1159754070260185,0.0824801138404615,0.08584775417419784,0.04860745858538734,0.03329971633932283
interpolation_D,157248,2,0.05424783774583442,0.06959489537702429,0.04161693763591869,0.0375558460333308,0.08821583532898225,0.11275017549462875,0.07499890060032832,0.07863221715145319,0.04183396661650419,0.029173316387909556
extrapolation_D,157248,2,0.06885487230706278,0.08544672320483958,0.051838756495143266,0.04949060837918409,0.11664390364255411,0.14243247933601344,0.10194911107703018,0.10936256681354778,0.060768319708760066,0.041326127185966316
