budget,region,metric,scratch,from20,absolute_reduction,relative_reduction_vs_scratch,better
10pct_actual,full_0to25,power_sample_mean,0.2589709160972198,0.12060991756344454,0.13836099853377526,0.534272344628203,from20
10pct_actual,full_0to25,power_macro_equal_K_mean,0.23704797874130723,0.11736766050372002,0.11968031823758721,0.5048780372356413,from20
10pct_actual,full_0to25,field_sample_mean,0.32539149420491786,0.15358176802155607,0.1718097261833618,0.5280092726553057,from20
10pct_actual,full_0to25,field_macro_equal_K_mean,0.36803767429181,0.18705916904151906,0.18097850525029094,0.4917390742633499,from20
10pct_actual,old_0to20,power_sample_mean,0.23814879197336536,0.10715584791572179,0.13099294405764356,0.5500466450919216,from20
10pct_actual,old_0to20,power_macro_equal_K_mean,0.20847252978739314,0.10254662127239834,0.1059259085149948,0.5081048741674569,from20
10pct_actual,old_0to20,field_sample_mean,0.28842965420605865,0.1348551428893885,0.15357451131667016,0.5324504920945269,from20
10pct_actual,old_0to20,field_macro_equal_K_mean,0.3263551759330497,0.16620198695263827,0.16015318898041142,0.49073279908165496,from20
10pct_actual,new_20to25,power_sample_mean,0.36220844787895184,0.18392792817866768,0.17828051970028416,0.4922042010457596,from20
10pct_actual,new_20to25,power_macro_equal_K_mean,0.3851027023904675,0.19393790715094336,0.19116479523952415,0.4963995164222355,from20
10pct_actual,new_20to25,field_sample_mean,0.44351092455648816,0.21255751963055608,0.23095340492593208,0.5207389314183996,from20
10pct_actual,new_20to25,field_macro_equal_K_mean,0.5009817106892758,0.2537476400665678,0.24723407062270797,0.4934991943768784,from20
10pct_actual,terminal_25,power_sample_mean,0.37477366791970684,0.18207871800183778,0.19269494991786906,0.5141635243145014,from20
10pct_actual,terminal_25,power_macro_equal_K_mean,0.39660533588361024,0.19312118364350606,0.2034841522401042,0.5130645854442555,from20
10pct_actual,terminal_25,field_sample_mean,0.46875535841905114,0.22630822155907881,0.24244713685997232,0.5172146462019384,from20
10pct_actual,terminal_25,field_macro_equal_K_mean,0.5344216387033531,0.2696551919449144,0.26476644675843874,0.4954261346917604,from20
25pct_actual,full_0to25,power_sample_mean,0.13895055561634967,0.08344977588105833,0.05550077973529134,0.3994282677683717,from20
25pct_actual,full_0to25,power_macro_equal_K_mean,0.13163635826200684,0.08341071048351058,0.048225647778496264,0.3663550740480736,from20
25pct_actual,full_0to25,field_sample_mean,0.178828075458807,0.10944532975800711,0.06938274570079989,0.3879857540421956,from20
25pct_actual,full_0to25,field_macro_equal_K_mean,0.2133127218034286,0.13809039792566447,0.07522232387776415,0.35263871391169455,from20
25pct_actual,old_0to20,power_sample_mean,0.12329094707877203,0.0731032146488308,0.050187732429941234,0.4070674580662902,from20
25pct_actual,old_0to20,power_macro_equal_K_mean,0.11310519072957992,0.07201218308229312,0.041093007647286794,0.3633167265111195,from20
25pct_actual,old_0to20,field_sample_mean,0.1555705733142325,0.09441611919147334,0.06115445412275915,0.39309782576448465,from20
25pct_actual,old_0to20,field_macro_equal_K_mean,0.18633540462669457,0.12126769334212287,0.0650677112845717,0.3491967155406066,from20
25pct_actual,new_20to25,power_sample_mean,0.2120095709995501,0.13104875139299388,0.08096081960655621,0.381873418378494,from20
25pct_actual,new_20to25,power_macro_equal_K_mean,0.2231624646496411,0.14105925898193125,0.08210320566770984,0.36790777426037846,from20
25pct_actual,new_20to25,field_sample_mean,0.25104305759407286,0.15559622223873076,0.0954468353553421,0.3802010550304722,from20
25pct_actual,new_20to25,field_macro_equal_K_mean,0.2974433878729987,0.19100369518420873,0.10643969268878994,0.35784857565647815,from20
25pct_actual,terminal_25,power_sample_mean,0.20811972594864128,0.13498924823278896,0.07313047771585232,0.3513865751192613,from20
25pct_actual,terminal_25,power_macro_equal_K_mean,0.23052966362038013,0.15153291515707762,0.07899674846330251,0.3426749825713915,from20
25pct_actual,terminal_25,field_sample_mean,0.26885375818298274,0.16669832443827368,0.10215543374470906,0.3799665455120093,from20
25pct_actual,terminal_25,field_macro_equal_K_mean,0.32080292167420676,0.2036299155400409,0.11717300613416587,0.3652491863935129,from20
50pct_actual,full_0to25,power_sample_mean,0.11702517015933997,0.10116359097541704,0.015861579183922933,0.13553989421528728,from20
50pct_actual,full_0to25,power_macro_equal_K_mean,0.1033002171732021,0.08336103707677738,0.01993918009642473,0.1930216667695187,from20
50pct_actual,full_0to25,field_sample_mean,0.14214882822718788,0.11959321120028955,0.02255561702689833,0.15867606724727307,from20
50pct_actual,full_0to25,field_macro_equal_K_mean,0.16182380931955856,0.12871825236188433,0.033105556957674226,0.20457778800831244,from20
50pct_actual,old_0to20,power_sample_mean,0.10895755132010027,0.096764092968876,0.012193458351224262,0.11191017238816048,from20
50pct_actual,old_0to20,power_macro_equal_K_mean,0.09269224755388468,0.0770749725906058,0.015617274963278874,0.1684852333977564,from20
50pct_actual,old_0to20,field_sample_mean,0.12631103711254613,0.10785448184515041,0.018456555267395716,0.14611989331502748,from20
50pct_actual,old_0to20,field_macro_equal_K_mean,0.14347174657544498,0.1147905399604448,0.028681206615000177,0.19990839520391626,from20
50pct_actual,new_20to25,power_sample_mean,0.15774580503269223,0.12439677769342825,0.03334902733926398,0.21140991567003967,from20
50pct_actual,new_20to25,power_macro_equal_K_mean,0.15914344312055353,0.11816586437325416,0.040977578747299376,0.2574883259014212,from20
50pct_actual,new_20to25,field_sample_mean,0.19280123740971444,0.1579966914117905,0.03480454599792393,0.18052034554094762,from20
