experiment,Amin,method,n_samples,K_accuracy,amplitude_8slot_mae,vector_success_atol_0p05,ssfm_backcheck_field_mean,ssfm_backcheck_field_median,ssfm_backcheck_field_p95,ssfm_backcheck_field_max
N100_Amin0p05_R4_seed2030,0.05,PINN,100,1.0,0.004174052840098739,1.0,0.03572717240971693,0.02047860230872462,0.13877499739691843,0.3895286699735425
N100_Amin0p05_R4_seed2030,0.05,Baseline_CNN,100,1.0,0.002717927973717451,0.99,0.02495442809020696,0.009488996837615348,0.06999112982837748,0.11840376740887468
N100_Amin0p05_R4_seed2030,0.05,Scaled_CNN,100,1.0,0.003141680299304426,1.0,0.030657673013832973,0.01892744026202227,0.07621175603454935,0.11132539221560947
N100_Amin0p05_R4_seed2030,0.05,DDNN,100,0.84,0.03061246627010405,0.03,0.229090963714471,0.14534521356697006,0.8129264457412713,1.6573644036392732
