experiment,Amin,method,n_samples,K_accuracy,amplitude_8slot_mae,vector_success_atol_0p05,ssfm_backcheck_field_mean,ssfm_backcheck_field_median,ssfm_backcheck_field_p95,ssfm_backcheck_field_max
N100_Amin0p20_R4_seed2030,0.2,PINN,100,1.0,0.00403985233977437,1.0,0.024106257758109807,0.019461513709590962,0.05855346696820356,0.10495977297283184
N100_Amin0p20_R4_seed2030,0.2,Baseline_CNN,100,1.0,0.0030782504193484785,0.99,0.026081419110795024,0.011536020899892335,0.07612759128061634,0.11061278300873702
N100_Amin0p20_R4_seed2030,0.2,Scaled_CNN,100,1.0,0.003458147458732128,1.0,0.0300295415163894,0.01692698768035103,0.0788761387715789,0.10423803775240413
N100_Amin0p20_R4_seed2030,0.2,DDNN,100,0.97,0.02939561879262328,0.09,0.17999861149241794,0.14283250486858495,0.49469934755992057,0.7760963821353628
