K,n_samples,full_rel_l2_field_mean,full_rel_l2_field_std,full_rel_l2_field_p50,full_rel_l2_field_p90,full_rel_l2_field_p95,full_rel_l2_field_max,full_rel_l2_power_mean,full_rel_l2_power_std,full_rel_l2_power_p50,full_rel_l2_power_p90,full_rel_l2_power_p95,full_rel_l2_power_max,terminal_rel_l2_field_mean,terminal_rel_l2_field_std,terminal_rel_l2_field_p50,terminal_rel_l2_field_p90,terminal_rel_l2_field_p95,terminal_rel_l2_field_max,terminal_rel_l2_power_mean,terminal_rel_l2_power_std,terminal_rel_l2_power_p50,terminal_rel_l2_power_p90,terminal_rel_l2_power_p95,terminal_rel_l2_power_max,max_abs_power_error_mean,max_abs_power_error_std,max_abs_power_error_p50,max_abs_power_error_p90,max_abs_power_error_p95,max_abs_power_error_max
1,1,0.12015552825227882,0.0,0.12015552825227882,0.12015552825227882,0.12015552825227882,0.12015552825227882,0.036490166636080706,0.0,0.036490166636080706,0.036490166636080706,0.036490166636080706,0.036490166636080706,0.17597569010274836,0.0,0.17597569010274836,0.17597569010274836,0.17597569010274836,0.17597569010274836,0.06864153822619676,0.0,0.06864153822619676,0.06864153822619676,0.06864153822619676,0.06864153822619676,0.009376235939386302,0.0,0.009376235939386302,0.009376235939386302,0.009376235939386302,0.009376235939386302
2,7,0.08460615907475795,0.01577473848447855,0.07776687436519544,0.10709775287137614,0.10920175273979503,0.11130575260821393,0.03442932475043375,0.004828709361685428,0.03267529728890934,0.0399551839604546,0.041197578305192877,0.042439972649931164,0.12625909602876131,0.021833231811508837,0.11638234773745099,0.15604410516836723,0.16013842679587603,0.1642327484233849,0.07355542019914478,0.010501634519618082,0.07309515165116531,0.08657186830492568,0.08968855299094598,0.0928052376769663,0.016414440132555993,0.008154957689454418,0.015984804810489583,0.024182920934925564,0.029449227094217604,0.03471553325350968
3,50,0.07088276849876522,0.01275417753042761,0.07016385069872705,0.08184259915560196,0.09065790913629303,0.12905174896902685,0.03993745681725142,0.008546276139040966,0.04041760415027876,0.04973956706428703,0.054871545052988635,0.06967879181756291,0.1076022496912856,0.018016948414619986,0.10661563626777254,0.12824125149010512,0.13103730024854252,0.18328012752775477,0.07416025307197678,0.011276436206567963,0.07497207395857933,0.08483861314856837,0.08728120726193445,0.11053007000796168,0.026480013510307085,0.013234576837227948,0.028627895300022743,0.043649674732255055,0.04529732775467909,0.06038700212725634
4,230,0.061477655423491796,0.010528272492727803,0.06182937300987249,0.07471863843411411,0.07663797149002312,0.09952451785073685,0.04017160577883008,0.008488826416978103,0.04083108554790517,0.051367673138160305,0.05542062820442154,0.06951366986638348,0.09488225213547148,0.01616264211968069,0.09620783667213223,0.11528755301176632,0.11932170643745613,0.13912430689793587,0.07404656981620439,0.014925935388490335,0.07611527994440986,0.0914411257089747,0.09661383608881656,0.1087222594561319,0.03244659574554973,0.015415098319886975,0.03485759157413837,0.04816567246684715,0.058090840604486535,0.08738609008337206
5,922,0.057297688396357356,0.010657567215830737,0.0580121421224924,0.070130512103839,0.0736913864858656,0.10345030591391735,0.0405598739687296,0.008257659249235652,0.04053535745496061,0.05165007844772166,0.05437684936052637,0.0722910982632734,0.08734612022978672,0.015577681767590983,0.08863609456580276,0.10599286266413568,0.11186693529809068,0.14903048947843936,0.0718156822694177,0.014204826386090389,0.0736671179823139,0.08975545487629122,0.0934894864822238,0.1098190504894444,0.03481133037399216,0.01466358707146924,0.03477502355505646,0.05334460583372131,0.06042063421690003,0.08528150484428049
6,3686,0.054961912896205986,0.010819096026013327,0.05492423330988584,0.06881744081253045,0.07330304266428184,0.10069639668696796,0.04120194209011569,0.007435008072354234,0.04122068884006999,0.05047978937607812,0.052851277128046756,0.07094006247739508,0.08374258007046022,0.014984616684144749,0.08431529558426173,0.1025916687235517,0.10858398450475118,0.14540746514263495,0.07407389608147236,0.012683083496883421,0.07541613072927618,0.08999299802551287,0.09329177666526584,0.10848404553754805,0.03864288040763489,0.014707117636134933,0.038808233971417194,0.05824847312083925,0.06275795789949956,0.0837882037386577
7,14746,0.05574962146551059,0.01218968196649554,0.05546979017711014,0.07175001076853563,0.07652393901010396,0.10046845807157337,0.043514631504954965,0.008699624243224829,0.04370846659510065,0.05445942901646973,0.0578050800146772,0.07707892167939402,0.08493661352936537,0.017041505819915502,0.084508486332495,0.10717748292232615,0.11407351492827808,0.1540703081126784,0.07760661889148211,0.012943361975642245,0.07845195997676538,0.0936823436542609,0.09732176025603514,0.12400632098734458,0.042865779820665015,0.015581187229616121,0.04297027043616242,0.06353027172693038,0.06823779039861999,0.09061307899705184
8,58982,0.06089412414504815,0.01567936355679566,0.05920240008571949,0.08245539577415234,0.08994505452598194,0.12224796674864766,0.04937442211977089,0.011887537790953988,0.0482937059095474,0.06562599927951757,0.07106915155311522,0.09568579671339104,0.09204134842645233,0.021854841762545592,0.08935527515623487,0.1219910049763958,0.1327854320346465,0.1844305257844495,0.08401205182358706,0.014643021237499252,0.08440171377806378,0.10219576067393592,0.10756091737521266,0.14247013340787246,0.05067548421369167,0.019685829358918296,0.04931524708228663,0.07552095870212083,0.085012757796328,0.12934514545940967
